icon;domain;measure;spatial_scope;temporal_scope;entity_group;entity_key;var_name;ka;label_de;unit;comment;Formel
O;electricity_end_use;total;;;;;EUI_el_total;3;Quartier;kWh/m²NGFa;;EUI_plugAuxLight+EUIh_el+EUIc_el+EUIdhw_el+EUIv_el+EUIdhwdirect_el+EUIev_el
🌞;electricity_dispatch;PV_use;;static;;;PV_total;3;PV Ertrag;kWh/m²NGFa;;PV_total_direct+PV_total_flex+PV_to_Egrid
🌞;electricity_dispatch;PV_use;;static;energy_use;user_electricity;PV_to_plugloads;3;3 static;kWh/m²NGFa;;SUMME(sim[PV_to_user])/1000
🌞;electricity_dispatch;PV_use;;static;energy_use;heating_demand;PV_to_Eh_min;3;3 static;kWh/m²NGFa;;SUMME(sim[PV_to_Eh_min])/1000
🌞;electricity_dispatch;PV_use;;static;energy_use;cooling_demand;PV_to_Ec_min;3;3 static;kWh/m²NGFa;;SUMME(sim[PV_to_Ec_min])/1000
🌞;electricity_dispatch;PV_use;;static;energy_use;dhw_demand;PV_to_Edhw_min;3;3 static;kWh/m²NGFa;;SUMME(sim[PV_to_Edhw_min])/1000
🌞;electricity_dispatch;PV_use;;static;energy_use;vent_el_demand;PV_to_Ev_min;3;3 static;kWh/m²NGFa;;SUMME(sim[PV_to_Ev_min])/1000
🌞;electricity_dispatch;PV_use;;static;energy_use;ev_local_charge;PV_to_Eev_min;3;3 static;kWh/m²NGFa;;SUMME(sim[PV_to_Eev_min])/1000
🌞;electricity_dispatch;PV_use;;static;energy_use;;PV_total_direct;3;3 static;kWh/m²NGFa;;PV_to_plugloads+PV_to_Eh_min+PV_to_Ec_min+PV_to_Edhw_min+PV_to_Ev_min+PV_to_Eev_min
🌞;electricity_dispatch;PV_use;;flexible;energy_use;user_electricity;PV_to_Eh_flex;3;3 flexible;kWh/m²NGFa;;SUMME(sim[[PV_to_Eh_flex_1el]:[PV_to_Eh_flex_3el]])/1000
