var_name;Domain;Measure;Unit;Formula
Eev_Dflex_pot_retail;E-Mobilität;Entladung Maximum;Wh/m²;=FALSE*[@[EVd_retail]]*EV_battsize_kWh*MIN(MAX([@[EV_SOC0_d_retail]]-EV_soc_min_discharge,0),EV_max_charging_power_ratio)*1000*per_NFA
Eev_Dflex_pot;E-Mobilität;Entladung Maximum;Wh/m²;=SUM(sim[@[Eev_Dflex_pot_res]:[Eev_Dflex_pot_retail]])
Eev_S_res;E-Mobilität;Entladung Fahrten;Wh/m²;=-EV_mileage_residential*EV_demand_kWhpkm*mob[@[Anteil JPkm]]*1000*per_NFA
Eev_S_work;E-Mobilität;Entladung Fahrten;Wh/m²;=-EV_mileage_work*EV_demand_kWhpkm*mob[@[Anteil JPkm]]*1000*per_NFA
Eev_S_retail;E-Mobilität;Entladung Fahrten;Wh/m²;=-EV_mileage_retail*EV_demand_kWhpkm*mob[@[Anteil JPkm]]*1000*per_NFA*mobility_is_included
Eev_Cext_res;E-Mobilität;Beladung Außerhalb;Wh/m²;=(EV_count_residential-[@[EVd_res]])*EV_battsize_kWh*MIN(EV_max_charging_power_ratio*10%,MAX(EV_soc_min_ext-[@[EV_SOC0_a_res]],0))*1000*per_NFA
Eev_Cext_work;E-Mobilität;Beladung Außerhalb;Wh/m²;=(EV_count_work-[@[EVd_work]])*EV_battsize_kWh*MIN(EV_max_charging_power_ratio*10%,MAX(EV_soc_min_ext-[@[EV_SOC0_a_work]],0))*1000*per_NFA
Eev_Cext_retail;E-Mobilität;Beladung Außerhalb;Wh/m²;=(EV_count_retail-[@[EVd_retail]])*EV_battsize_kWh*MIN(EV_max_charging_power_ratio*10%,MAX(EV_soc_min_ext-[@[EV_SOC0_a_retail]],0))*1000*per_NFA
Eev_min_intake;E-Mobilität;Beladung Minimum;Wh/m²;=[@[Eev_Cmin]]*EV_charging_losses_surcharge_factor
Eev_flex_intake;E-Mobilität;Beladung Maximum;Wh/m²;=[@[Eev_Cflex_pot]]*EV_charging_losses_surcharge_factor
Spalte6;;;;
BATT_cap_0;Batterie;Batterie;Wh/m²;=Batt_SOC_init*Batt_cap_Wh_per_NFA
Batt_auto_discharge;Batterie;Batterie;Wh/m²;=[@[BATT_cap_0]]*Batt_auto_discharge_factor
Batt_cap_after_losses;Batterie;Batterie;Wh/m²;=Batt_is_used*([@[BATT_cap_0]]-[@[Batt_auto_discharge]])
Spalte80;Batterie;Batterie;;
Spalte81;Batterie;Batterie;;
Spalte82;Batterie;Batterie;;
Spalte83;Batterie;Batterie;;
Spalte84;Batterie;Batterie;;
Spalte85;Batterie;Batterie;;
Batt_max_energy_output;Batterie;Batterie;;
Batt_max_energy_input;Batterie;Batterie;Wh/m²;=Batt_is_used*(Batt_cap_Wh_per_NFA-[@[Batt_cap_after_losses]])
Spalte88;;;;
Spalte5;;;;
